token_id,title
0,[PAD]
1,Toy Story (1995)
2,Jumanji (1995)
3,Grumpier Old Men (1995)
4,Waiting to Exhale (1995)
5,Father of the Bride Part II (1995)
6,Heat (1995)
7,Sabrina (1995)
8,Tom and Huck (1995)
9,Sudden Death (1995)
10,GoldenEye (1995)
11,"American President, The (1995)"
12,Dracula: Dead and Loving It (1995)
13,Balto (1995)
14,Nixon (1995)
15,Cutthroat Island (1995)
16,Casino (1995)
17,Sense and Sensibility (1995)
18,Four Rooms (1995)
19,Ace Ventura: When Nature Calls (1995)
20,Money Train (1995)
21,Get Shorty (1995)
22,Copycat (1995)
23,Assassins (1995)
24,Powder (1995)
25,Leaving Las Vegas (1995)
26,Othello (1995)
27,Now and Then (1995)
28,Persuasion (1995)
29,"City of Lost Children, The (1995)"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
31,Dangerous Minds (1995)
32,Twelve Monkeys (1995)
33,Babe (1995)
34,Carrington (1995)
35,Dead Man Walking (1995)
36,Across the Sea of Time (1995)
37,It Takes Two (1995)
38,Clueless (1995)
39,"Cry, the Beloved Country (1995)"
40,Richard III (1995)
41,Dead Presidents (1995)
42,Restoration (1995)
43,Mortal Kombat (1995)
44,To Die For (1995)
45,How to Make an American Quilt (1995)
46,Seven (Se7en) (1995)
47,Pocahontas (1995)
48,When Night Is Falling (1995)
49,"Usual Suspects, The (1995)"
50,Mighty Aphrodite (1995)
51,Lamerica (1994)
52,"Big Green, The (1995)"
53,Georgia (1995)
54,Kids of the Round Table (1995)
55,Home for the Holidays (1995)
56,"Postino, Il (The Postman) (1994)"
57,"Confessional, The (Le Confessionnal) (1995)"
58,"Indian in the Cupboard, The (1995)"
59,Eye for an Eye (1996)
60,Mr. Holland's Opus (1995)
61,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
62,Two if by Sea (1996)
63,Bio-Dome (1996)
64,Lawnmower Man 2: Beyond Cyberspace (1996)
65,French Twist (Gazon maudit) (1995)
66,Friday (1995)
67,From Dusk Till Dawn (1996)
68,Fair Game (1995)
69,Kicking and Screaming (1995)
70,"Misérables, Les (1995)"
71,Bed of Roses (1996)
72,Big Bully (1996)
73,Screamers (1995)
74,Nico Icon (1995)
75,"Crossing Guard, The (1995)"
76,"Juror, The (1996)"
77,"White Balloon, The (Badkonake Sefid ) (1995)"
78,Things to Do in Denver when You're Dead (1995)
79,Antonia's Line (Antonia) (1995)
80,Once Upon a Time... When We Were Colored (1995)
81,Last Summer in the Hamptons (1995)
82,Angels and Insects (1995)
83,White Squall (1996)
84,Dunston Checks In (1996)
85,Black Sheep (1996)
